Ticker,Company_Name,Sector,Industry,Market_Cap_Cat,Cap_value
THERMAX.NS,Thermax Ltd.,Industrials,Capital Goods,Mid,323301015552
SONACOMS.NS,Sona BLW Precision Forgings Ltd.,Consumer Cyclical,Automobile and Auto Components,Mid,319007457280
APOLLOTYRE.NS,Apollo Tyres Ltd.,Consumer Cyclical,Automobile and Auto Components,Mid,318465867776
TATAINVEST.NS,Tata Investment Corporation Ltd.,Financial Services,Financial Services,Mid,315689369600
ACC.NS,ACC Ltd.,Basic Materials,Construction Materials,Mid,314168082432
CHOLAHLDNG.NS,Cholamandalam Financial Holdings Ltd.,Financial Services,Financial Services,Mid,312123228160
MEDANTA.NS,Global Health Ltd.,Healthcare,Healthcare,Mid,306783944704
KARURVYSYA.NS,Karur Vysya Bank Ltd.,Financial Services,Financial Services,Mid,303808315392
GLAND.NS,Gland Pharma Ltd.,Healthcare,Healthcare,Small,302822293504
JBCHEPHARM.NS,J.B. Chemicals & Pharmaceuticals Ltd.,Healthcare,Healthcare,Small,296765980672
ASTERDM.NS,Aster DM Healthcare Ltd.,Healthcare,Healthcare,Small,292353441792
GUJGASLTD.NS,Gujarat Gas Ltd.,Utilities,Oil Gas & Consumable Fuels,Small,291877421056
EMCURE.NS,Emcure Pharmaceuticals Ltd.,Healthcare,Healthcare,Small,286633689088
GODIGIT.NS,Go Digit General Insurance Ltd.,Financial Services,Financial Services,Small,286344151040
MSUMI.NS,Motherson Sumi Wiring India Ltd.,Consumer Cyclical,Automobile and Auto Components,Small,284498329600
LICHSGFIN.NS,LIC Housing Finance Ltd.,Financial Services,Financial Services,Small,284382560256
SJVN.NS,SJVN Ltd.,Utilities,Power,Small,284124184576
IKS.NS,Inventurus Knowledge Solutions Ltd.,Healthcare,Information Technology,Small,284100231168
GILLETTE.NS,Gillette India Ltd.,Consumer Defensive,Fast Moving Consumer Goods,Small,283230699520
HONAUT.NS,Honeywell Automation India Ltd.,Industrials,Capital Goods,Small,282230751232
EXIDEIND.NS,Exide Industries Ltd.,Consumer Cyclical,Automobile and Auto Components,Small,281852805120
FORCEMOT.NS,Force Motors Ltd.,Consumer Cyclical,Automobile and Auto Components,Small,279995580416
ITI.NS,ITI Ltd.,Technology,Telecommunication,Small,279677665280
ZFCVINDIA.NS,ZF Commercial Vehicle Control Systems India Ltd.,Consumer Cyclical,Automobile and Auto Components,Small,279259742208
CDSL.NS,Central Depository Services (India) Ltd.,Financial Services,Financial Services,Small,277740093440
GRSE.NS,Garden Reach Shipbuilders & Engineers Ltd.,Industrials,Capital Goods,Small,274969788416
RAMCOCEM.NS,The Ramco Cements Ltd.,Basic Materials,Construction Materials,Small,274264555520
AWL.NS,AWL Agri Business Ltd.,Consumer Defensive,Fast Moving Consumer Goods,Small,272886857728
STARHEALTH.NS,Star Health and Allied Insurance Company Ltd.,Financial Services,Financial Services,Small,270134444032
ATHERENERG.NS,Ather Energy Ltd.,Consumer Cyclical,Automobile and Auto Components,Small,270005288960
NBCC.NS,NBCC (India) Ltd.,Industrials,Construction,Small,265085992960
IRB.NS,IRB Infrastructure Developers Ltd.,Industrials,Construction,Small,260703617024
KPITTECH.NS,KPIT Technologies Ltd.,Technology,Information Technology,Small,260141416448
PTCIL.NS,PTC Industries Ltd.,Industrials,Capital Goods,Small,260120723456
BANDHANBNK.NS,Bandhan Bank Ltd.,Financial Services,Financial Services,Small,255661162496
MANAPPURAM.NS,Manappuram Finance Ltd.,Financial Services,Financial Services,Small,254353637376
TATATECH.NS,Tata Technologies Ltd.,Technology,Information Technology,Small,250354401280
KAYNES.NS,Kaynes Technology India Ltd.,Technology,Capital Goods,Small,249088851968
ASAHIINDIA.NS,Asahi India Glass Ltd.,Consumer Cyclical,Automobile and Auto Components,Small,247534305280
NIACL.NS,The New India Assurance Company Ltd.,Financial Services,Financial Services,Small,247406247936
IGL.NS,Indraprastha Gas Ltd.,Utilities,Oil Gas & Consumable Fuels,Small,246950526976
NUVAMA.NS,Nuvama Wealth Management Ltd.,Financial Services,Financial Services,Small,246629564416
TIMKEN.NS,Timken India Ltd.,Industrials,Capital Goods,Small,244321992704
ANANDRATHI.NS,Anand Rathi Wealth Ltd.,Financial Services,Financial Services,Small,243938148352
AEGISLOG.NS,Aegis Logistics Ltd.,Energy,Oil Gas & Consumable Fuels,Small,242189991936
LALPATHLAB.NS,Dr. Lal Path Labs Ltd.,Healthcare,Healthcare,Small,241143087104
ANGELONE.NS,Angel One Ltd.,Financial Services,Financial Services,Small,239106146304
AEGISVOPAK.NS,Aegis Vopak Terminals Ltd.,Energy,Oil Gas & Consumable Fuels,Small,238772174848
SHYAMMETL.NS,Shyam Metalics and Energy Ltd.,Basic Materials,Capital Goods,Small,238580858880
KIMS.NS,Krishna Institute of Medical Sciences Ltd.,Healthcare,Healthcare,Small,237902610432
ABSLAMC.NS,Aditya Birla Sun Life AMC Ltd.,Financial Services,Financial Services,Small,234847928320
AMBER.NS,Amber Enterprises India Ltd.,Consumer Cyclical,Consumer Durables,Small,233155461120
AFFLE.NS,Affle 3i Ltd.,Communication Services,Information Technology,Small,231198081024
HSCL.NS,Himadri Speciality Chemical Ltd.,Basic Materials,Chemicals,Small,228977901568
WOCKPHARMA.NS,Wockhardt Ltd.,Healthcare,Healthcare,Small,225896611840
SAGILITY.NS,Sagility Ltd.,Healthcare,Information Technology,Small,225874100224
PNBHOUSING.NS,PNB Housing Finance Ltd.,Financial Services,Financial Services,Small,220807053312
DEEPAKNTR.NS,Deepak Nitrite Ltd.,Basic Materials,Chemicals,Small,219592802304
EMAMILTD.NS,Emami Ltd.,Consumer Defensive,Fast Moving Consumer Goods,Small,219165540352
IIFL.NS,IIFL Finance Ltd.,Financial Services,Financial Services,Small,218758512640
HBLENGINE.NS,HBL Engineering Ltd.,Industrials,Capital Goods,Small,218152419328
WELCORP.NS,Welspun Corp Ltd.,Basic Materials,Capital Goods,Small,217292046336
CUB.NS,City Union Bank Ltd.,Financial Services,Financial Services,Small,216598265856
ASTRAZEN.NS,AstraZenca Pharma India Ltd.,Healthcare,Healthcare,Small,213937504256
EIHOTEL.NS,EIH Ltd.,Consumer Cyclical,Consumer Services,Small,213874540544
SUNTV.NS,Sun TV Network Ltd.,Communication Services,Media Entertainment & Publication,Small,211465797632
PFIZER.NS,Pfizer Ltd.,Healthcare,Healthcare,Small,210485313536
INDIACEM.NS,India Cements Ltd.,Basic Materials,Construction Materials,Small,210110038016
REDINGTON.NS,Redington Ltd.,Technology,Services,Small,210023694336
PPLPHARMA.NS,Piramal Pharma Ltd.,Healthcare,Healthcare,Small,209466130432
CREDITACC.NS,CreditAccess Grameen Ltd.,Financial Services,Financial Services,Small,206479687680
AADHARHFC.NS,Aadhar Housing Finance Ltd.,Financial Services,Financial Services,Small,205554384896
CESC.NS,CESC Ltd.,Utilities,Power,Small,203872731136
SUMICHEM.NS,Sumitomo Chemical India Ltd.,Basic Materials,Chemicals,Small,203676401664
BAYERCROP.NS,Bayer Cropscience Ltd.,Basic Materials,Chemicals,Small,201860071424
FSL.NS,Firstsource Solutions Ltd.,Technology,Services,Small,200653815808
ANANTRAJ.NS,Anant Raj Ltd.,Real Estate,Realty,Small,199481114624
SUNDRMFAST.NS,Sundram Fasteners Ltd.,Consumer Cyclical,Automobile and Auto Components,Small,195629514752
ERIS.NS,Eris Lifesciences Ltd.,Healthcare,Healthcare,Small,194885500928
GMDCLTD.NS,Gujarat Mineral Development Corporation Ltd.,Energy,Metals & Mining,Small,190529716224
ATUL.NS,Atul Ltd.,Basic Materials,Chemicals,Small,189163274240
BRIGADE.NS,Brigade Enterprises Ltd.,Real Estate,Realty,Small,187101773824
CRAFTSMAN.NS,Craftsman Automation Ltd.,Consumer Cyclical,Automobile and Auto Components,Small,186932363264
SARDAEN.NS,Sarda Energy and Minerals Ltd.,Basic Materials,Metals & Mining,Small,186762084352
JYOTICNC.NS,Jyoti CNC Automation Ltd.,Industrials,Capital Goods,Small,186464206848
RBLBANK.NS,RBL Bank Ltd.,Financial Services,Financial Services,Small,186453508096
KPIL.NS,Kalpataru Projects International Ltd.,Industrials,Construction,Small,185800523776
CHALET.NS,Chalet Hotels Ltd.,Consumer Cyclical,Consumer Services,Small,185016041472
INOXWIND.NS,Inox Wind Ltd.,Industrials,Capital Goods,Small,183642849280
CASTROLIND.NS,Castrol India Ltd.,Energy,Oil Gas & Consumable Fuels,Small,183274471424
GESHIP.NS,Great Eastern Shipping Co. Ltd.,Industrials,Services,Small,181514174464
SCHNEIDER.NS,Schneider Electric Infrastructure Ltd.,Industrials,Capital Goods,Small,181025652736
VENTIVE.NS,Ventive Hospitality Ltd.,Consumer Cyclical,Consumer Services,Small,180294123520
DCMSHRIRAM.NS,DCM Shriram Ltd.,Industrials,Diversified,Small,180168818688
SYNGENE.NS,Syngene International Ltd.,Healthcare,Healthcare,Small,179964706816
TATACHEM.NS,Tata Chemicals Ltd.,Basic Materials,Chemicals,Small,179335675904
SAILIFE.NS,Sai Life Sciences Ltd.,Healthcare,Healthcare,Small,179249856512
CAMS.NS,Computer Age Management Services Ltd.,Technology,Financial Services,Small,178975342592
CENTURYPLY.NS,Century Plyboards (India) Ltd.,Basic Materials,Consumer Durables,Small,178404917248
NETWEB.NS,Netweb Technologies India Ltd.,Technology,Information Technology,Small,177167974400
KIRLOSENG.NS,Kirloskar Oil Eng Ltd.,Industrials,Capital Goods,Small,173537214464
GSPL.NS,Gujarat State Petronet Ltd.,Utilities,Oil Gas & Consumable Fuels,Small,172648611840
CHAMBLFERT.NS,Chambal Fertilizers & Chemicals Ltd.,Basic Materials,Chemicals,Small,171479171072
CHOICEIN.NS,Choice International Ltd.,Financial Services,Financial Services,Small,169036185600
KFINTECH.NS,Kfin Technologies Ltd.,Technology,Financial Services,Small,167187267584
NEULANDLAB.NS,Neuland Laboratories Ltd.,Healthcare,Healthcare,Small,166943342592
PGEL.NS,PG Electroplast Ltd.,Technology,Consumer Durables,Small,166461243392
SYRMA.NS,Syrma SGS Technology Ltd.,Technology,Capital Goods,Small,166010798080
CGCL.NS,Capri Global Capital Ltd.,Financial Services,Financial Services,Small,165971558400
